ANO_ELEICAO;NR_TURNO;DS_ELEICAO;DT_ELEICAO;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;QT_VOTOS_NOMINAIS_VALIDOS
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;779;BURITIS;34;6;Deputado Federal;Federação;50;PSOL;Partido Socialismo e Liberdade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);4
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;744;NOVA UNIÃO;28;6;Deputado Federal;Federação;50;PSOL;Partido Socialismo e Liberdade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);1
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;655;CORUMBIARA;16;6;Deputado Federal;Federação;50;PSOL;Partido Socialismo e Liberdade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;558;VALE DO PARAÍSO;28;6;Deputado Federal;Partido isolado;77;SOLIDARIEDADE;Solidariedade;PARTIDO ISOLADO;SOLIDARIEDADE;0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;299;ROLIM DE MOURA;29;6;Deputado Federal;Federação;18;REDE;Rede Sustentabilidade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;337;ALVORADA DO OESTE;18;7;Deputado Estadual;Federação;18;REDE;Rede Sustentabilidade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;590;THEOBROMA;27;7;Deputado Estadual;Federação;18;REDE;Rede Sustentabilidade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);0
2022;2;Eleições Gerais Estaduais 2022;30/10/2022;RO;RONDÔNIA;779;BURITIS;34;3;Governador;Coligação;44;UNIÃO;UNIÃO BRASIL;COMPROMISSO, TRABALHO E FÉ;UNIÃO / REPUBLICANOS / AVANTE / MDB / PATRIOTA / PSC / Federação PSDB Cidadania(PSDB/CIDADANIA);6827
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;787;PIMENTEIRAS DO OESTE;16;7;Deputado Estadual;Partido isolado;40;PSB;Partido Socialista Brasileiro;PARTIDO ISOLADO;PSB;465
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;779;BURITIS;34;7;Deputado Estadual;Partido isolado;40;PSB;Partido Socialista Brasileiro;PARTIDO ISOLADO;PSB;408
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;558;VALE DO PARAÍSO;28;7;Deputado Estadual;Federação;23;CIDADANIA;Cidadania;FEDERAÇÃO;Federação PSDB Cidadania(PSDB/CIDADANIA);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;582;SERINGUEIRAS;35;5;Senador;Coligação;12;PDT;Partido Democrático Trabalhista;FRENTE DEMOC´RÁTICA;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PDT / PSB / SOLIDARIEDADE;0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;558;VALE DO PARAÍSO;28;3;Governador;Coligação;77;SOLIDARIEDADE;Solidariedade;FRENTE DEMOCRATICA;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PSB / SOLIDARIEDADE / PDT;548
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;809;CHUPINGUAIA;8;3;Governador;Coligação;77;SOLIDARIEDADE;Solidariedade;FRENTE DEMOCRATICA;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PSB / SOLIDARIEDADE / PDT;453
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;590;THEOBROMA;27;6;Deputado Federal;Federação;18;REDE;Rede Sustentabilidade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;272;CEREJEIRAS;16;5;Senador;Partido isolado;11;PP;PROGRESSISTAS;PARTIDO ISOLADO;PP;1905
2022;2;Eleições Gerais Estaduais 2022;30/10/2022;RO;RONDÔNIA;736;ALTO ALEGRE DOS PARECIS;19;3;Governador;Coligação;22;PL;Partido Liberal;Pelo bem de Rondônia. Pelo bem do Brasil;PL / DC / PMB / PTB;1338
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;191;PRESIDENTE MÉDICI;3;6;Deputado Federal;Federação;18;REDE;Rede Sustentabilidade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;620;CACAULÂNDIA;26;6;Deputado Federal;Federação;18;REDE;Rede Sustentabilidade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;434;NOVA MAMORÉ;1;3;Governador;Coligação;19;PODE;Podemos;JUNTOS PODEMOS MAIS;PODE / PMN / PSD;1777
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;337;ALVORADA DO OESTE;18;3;Governador;Coligação;19;PODE;Podemos;JUNTOS PODEMOS MAIS;PODE / PMN / PSD;1298
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;256;ESPIGÃO DO OESTE;12;5;Senador;Coligação;55;PSD;Partido Social Democrático;JUNTOS PODEMOS MAIS;PODE / PSD / PMN;2514
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;19;GUAJARÁ-MIRIM;1;5;Senador;Coligação;55;PSD;Partido Social Democrático;JUNTOS PODEMOS MAIS;PODE / PSD / PMN;2570
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;159;JARU;10;5;Senador;Coligação;55;PSD;Partido Social Democrático;JUNTOS PODEMOS MAIS;PODE / PSD / PMN;2462
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;671;CAMPO NOVO DE RONDÔNIA;34;5;Senador;Coligação;55;PSD;Partido Social Democrático;JUNTOS PODEMOS MAIS;PODE / PSD / PMN;699
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;35;PORTO VELHO;2;5;Senador;Coligação;22;PL;Partido Liberal;Pelo bem de Rondônia. Pelo bem do Brasil;PL / DC / PTB;21568
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;787;PIMENTEIRAS DO OESTE;16;6;Deputado Federal;Partido isolado;20;PSC;Partido Social Cristão;PARTIDO ISOLADO;PSC;246
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;671;CAMPO NOVO DE RONDÔNIA;34;6;Deputado Federal;Partido isolado;44;UNIÃO;UNIÃO BRASIL;PARTIDO ISOLADO;UNIÃO;621
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;132;VILHENA;4;7;Deputado Estadual;Partido isolado;11;PP;PROGRESSISTAS;PARTIDO ISOLADO;PP;1068
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;515;NOVO HORIZONTE DO OESTE;15;7;Deputado Estadual;Federação;50;PSOL;Partido Socialismo e Liberdade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;132;VILHENA;4;7;Deputado Estadual;Federação;50;PSOL;Partido Socialismo e Liberdade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);9
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;337;ALVORADA DO OESTE;18;7;Deputado Estadual;Partido isolado;15;MDB;Movimento Democrático Brasileiro;PARTIDO ISOLADO;MDB;278
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;671;CAMPO NOVO DE RONDÔNIA;34;6;Deputado Federal;Partido isolado;12;PDT;Partido Democrático Trabalhista;PARTIDO ISOLADO;PDT;11
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;744;NOVA UNIÃO;28;7;Deputado Estadual;Partido isolado;35;PMB;Partido da Mulher Brasileira;PARTIDO ISOLADO;PMB;2
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;310;ALTA FLORESTA D OESTE;17;7;Deputado Estadual;Partido isolado;35;PMB;Partido da Mulher Brasileira;PARTIDO ISOLADO;PMB;15
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;787;PIMENTEIRAS DO OESTE;16;7;Deputado Estadual;Partido isolado;35;PMB;Partido da Mulher Brasileira;PARTIDO ISOLADO;PMB;1
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;370;NOVA BRASILÂNDIA D OESTE;15;7;Deputado Estadual;Partido isolado;35;PMB;Partido da Mulher Brasileira;PARTIDO ISOLADO;PMB;14
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;701;PARECIS;19;7;Deputado Estadual;Partido isolado;22;PL;Partido Liberal;PARTIDO ISOLADO;PL;389
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;78;ARIQUEMES;7;7;Deputado Estadual;Partido isolado;14;PTB;Partido Trabalhista Brasileiro;PARTIDO ISOLADO;PTB;6132
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;175;OURO PRETO DO OESTE;13;7;Deputado Estadual;Partido isolado;77;SOLIDARIEDADE;Solidariedade;PARTIDO ISOLADO;SOLIDARIEDADE;30
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;35;PORTO VELHO;20;7;Deputado Estadual;Partido isolado;77;SOLIDARIEDADE;Solidariedade;PARTIDO ISOLADO;SOLIDARIEDADE;495
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;620;CACAULÂNDIA;26;7;Deputado Estadual;Federação;13;PT;Partido dos Trabalhadores;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);52
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;795;SÃO FRANCISCO DO GUAPORÉ;5;7;Deputado Estadual;Federação;65;PC do B;Partido Comunista do Brasil;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;19;GUAJARÁ-MIRIM;1;7;Deputado Estadual;Federação;65;PC do B;Partido Comunista do Brasil;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;94;CACOAL;11;7;Deputado Estadual;Federação;65;PC do B;Partido Comunista do Brasil;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;94;CACOAL;11;7;Deputado Estadual;Partido isolado;36;AGIR;AGIR;PARTIDO ISOLADO;AGIR;193
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;78;ARIQUEMES;7;7;Deputado Estadual;Partido isolado;36;AGIR;AGIR;PARTIDO ISOLADO;AGIR;19
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;159;JARU;10;7;Deputado Estadual;Partido isolado;36;AGIR;AGIR;PARTIDO ISOLADO;AGIR;6
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;779;BURITIS;34;6;Deputado Federal;Partido isolado;40;PSB;Partido Socialista Brasileiro;PARTIDO ISOLADO;PSB;342
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;680;CUJUBIM;26;6;Deputado Federal;Federação;13;PT;Partido dos Trabalhadores;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);230
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;94;CACOAL;11;7;Deputado Estadual;Federação;18;REDE;Rede Sustentabilidade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);133
2022;2;Eleições Gerais Estaduais 2022;30/10/2022;RO;RONDÔNIA;35;PORTO VELHO;2;3;Governador;Coligação;44;UNIÃO;UNIÃO BRASIL;COMPROMISSO, TRABALHO E FÉ;UNIÃO / REPUBLICANOS / AVANTE / MDB / PATRIOTA / PSC / Federação PSDB Cidadania(PSDB/CIDADANIA);46735
2022;2;Eleições Gerais Estaduais 2022;30/10/2022;RO;RONDÔNIA;663;MONTE NEGRO;25;3;Governador;Coligação;44;UNIÃO;UNIÃO BRASIL;COMPROMISSO, TRABALHO E FÉ;UNIÃO / REPUBLICANOS / AVANTE / MDB / PATRIOTA / PSC / Federação PSDB Cidadania(PSDB/CIDADANIA);2478
2022;2;Eleições Gerais Estaduais 2022;30/10/2022;RO;RONDÔNIA;230;COLORADO DO OESTE;8;3;Governador;Coligação;44;UNIÃO;UNIÃO BRASIL;COMPROMISSO, TRABALHO E FÉ;UNIÃO / REPUBLICANOS / AVANTE / MDB / PATRIOTA / PSC / Federação PSDB Cidadania(PSDB/CIDADANIA);4829
